particle,t,xpos,ypos
147,0,7.5,0.5
147,2,7.5,0.5
148,0,7.5,0.5
148,2,7.5,0.5
149,0,7.5,0.5
149,2,7.5,0.5
150,0,7.5,0.5
150,2,7.5,0.5
151,0,7.5,0.5
151,2,7.5,0.5
152,0,7.5,0.5
152,2,7.5,0.5
153,0,7.5,0.5
153,2,7.5,0.5
154,0,7.5,0.5
154,2,7.5,0.5
155,0,7.5,0.5
155,2,7.5,0.5
156,0,7.5,0.5
156,2,7.5,0.5
157,0,7.5,0.5
157,2,7.5,0.5
158,0,7.5,0.5
158,2,7.5,0.5
159,0,7.5,0.5
159,2,8.5,0.5
160,0,8.5,0.5
160,2,8.5,0.5
161,0,8.5,0.5
161,2,8.5,0.5
162,0,8.5,0.5
162,2,8.5,0.5
163,0,8.5,0.5
163,2,8.5,0.5
164,0,8.5,0.5
164,2,8.5,0.5
165,0,8.5,0.5
165,2,8.5,0.5
166,0,8.5,0.5
166,2,8.5,0.5
167,0,8.5,0.5
167,2,8.5,0.5
168,0,8.5,0.5
168,2,8.5,0.5
169,0,8.5,0.5
169,2,8.5,0.5
170,0,8.5,0.5
170,2,8.5,0.5
171,0,8.5,0.5
171,2,8.5,0.5
172,0,8.5,0.5
172,2,8.5,0.5
173,0,8.5,0.5
173,2,8.5,0.5
174,0,8.5,0.5
174,2,8.5,0.5
175,0,8.5,0.5
175,2,8.5,0.5
176,0,8.5,0.5
176,2,8.5,0.5
177,0,8.5,0.5
177,2,8.5,0.5
178,0,8.5,0.5
178,2,8.5,0.5
179,0,8.5,0.5
179,2,9.5,0.5
180,0,9.5,0.5
180,2,9.5,0.5
181,0,9.5,0.5
181,2,9.5,0.5
182,0,9.5,0.5
182,2,9.5,0.5
183,0,9.5,0.5
183,2,9.5,0.5
184,0,9.5,0.5
184,2,9.5,0.5
185,0,9.5,0.5
185,2,9.5,0.5
186,0,9.5,0.5
186,2,9.5,0.5
187,0,9.5,0.5
187,2,9.5,0.5
188,0,9.5,0.5
188,2,9.5,0.5
189,0,9.5,0.5
189,2,9.5,0.5
190,0,9.5,0.5
190,2,9.5,0.5
191,0,9.5,0.5
191,2,9.5,0.5
192,0,9.5,0.5
192,2,9.5,0.5
193,0,9.5,0.5
193,2,9.5,0.5
194,0,9.5,0.5
194,2,9.5,0.5
195,0,9.5,0.5
195,2,9.5,0.5
196,0,9.5,0.5
196,2,9.5,0.5
197,0,9.5,0.5
197,2,9.5,0.5
198,0,9.5,0.5
198,2,9.5,0.5
199,0,9.5,0.5
199,2,10.5,0.5
200,0,10.5,0.5
200,2,10.5,0.5
201,0,10.5,0.5
201,2,10.5,0.5
202,0,10.5,0.5
202,2,10.5,0.5
203,0,10.5,0.5
203,2,10.5,0.5
204,0,10.5,0.5
204,2,10.5,0.5
205,0,10.5,0.5
205,2,10.5,0.5
206,0,10.5,0.5
206,2,10.5,0.5
207,0,10.5,0.5
207,2,10.5,0.5
208,0,10.5,0.5
208,2,10.5,0.5
209,0,10.5,0.5
209,2,10.5,0.5
210,0,10.5,0.5
210,2,10.5,0.5
211,0,10.5,0.5
211,2,10.5,0.5
212,0,10.5,0.5
212,2,10.5,0.5
213,0,10.5,0.5
213,2,10.5,0.5
214,0,10.5,0.5
214,2,10.5,0.5
215,0,10.5,0.5
215,2,10.5,0.5
216,0,10.5,0.5
216,2,10.5,0.5
217,0,10.5,0.5
217,2,10.5,0.5
218,0,10.5,0.5
218,2,10.5,0.5
219,0,10.5,0.5
219,2,9.5,0.5
220,0,0.5,1.5
220,2,0.5,1.5
221,0,0.5,1.5
221,2,0.5,1.5
222,0,0.5,1.5
222,2,0.5,1.5
223,0,0.5,1.5
223,2,0.5,1.5
224,0,0.5,1.5
224,2,0.5,1.5
225,0,0.5,1.5
225,2,0.5,1.5
226,0,0.5,1.5
226,2,0.5,1.5
227,0,0.5,1.5
227,2,0.5,1.5
228,0,0.5,1.5
228,2,0.5,1.5
229,0,0.5,1.5
229,2,0.5,1.5
230,0,0.5,1.5
230,2,0.5,1.5
231,0,0.5,1.5
231,2,0.5,1.5
232,0,0.5,1.5
232,2,0.5,1.5
233,0,0.5,1.5
233,2,0.5,1.5
234,0,0.5,1.5
234,2,0.5,1.5
235,0,0.5,1.5
235,2,0.5,1.5
236,0,0.5,1.5
236,2,0.5,1.5
237,0,0.5,1.5
237,2,0.5,1.5
238,0,0.5,1.5
238,2,1.5,1.5
239,0,0.5,1.5
239,2,1.5,1.5
240,0,1.5,1.5
240,2,1.5,1.5
241,0,1.5,1.5
241,2,1.5,1.5
242,0,1.5,1.5
242,2,1.5,1.5
243,0,1.5,1.5
243,2,1.5,1.5
244,0,1.5,1.5
244,2,1.5,1.5
245,0,1.5,1.5
245,2,1.5,1.5
246,0,1.5,1.5
246,2,1.5,1.5
247,0,1.5,1.5
247,2,1.5,1.5
248,0,1.5,1.5
248,2,1.5,1.5
249,0,1.5,1.5
249,2,1.5,1.5
250,0,1.5,1.5
250,2,1.5,1.5
251,0,1.5,1.5
251,2,1.5,1.5
252,0,1.5,1.5
252,2,1.5,1.5
253,0,1.5,1.5
253,2,1.5,1.5
254,0,1.5,1.5
254,2,1.5,1.5
255,0,1.5,1.5
255,2,1.5,1.5
256,0,1.5,1.5
256,2,1.5,1.5
257,0,1.5,1.5
257,2,1.5,1.5
258,0,1.5,1.5
258,2,2.5,1.5
259,0,1.5,1.5
259,2,2.5,1.5
260,0,2.5,1.5
260,2,2.5,1.5
261,0,2.5,1.5
261,2,2.5,1.5
262,0,2.5,1.5
262,2,2.5,1.5
263,0,2.5,1.5
263,2,2.5,1.5
264,0,2.5,1.5
264,2,2.5,1.5
265,0,2.5,1.5
265,2,2.5,1.5
266,0,2.5,1.5
266,2,2.5,1.5
267,0,2.5,1.5
267,2,2.5,1.5
268,0,2.5,1.5
268,2,2.5,1.5
269,0,2.5,1.5
269,2,2.5,1.5
270,0,2.5,1.5
270,2,2.5,1.5
271,0,2.5,1.5
271,2,2.5,1.5
272,0,2.5,1.5
272,2,2.5,1.5
273,0,2.5,1.5
273,2,2.5,1.5
274,0,2.5,1.5
274,2,2.5,1.5
275,0,2.5,1.5
275,2,2.5,1.5
276,0,2.5,1.5
276,2,2.5,1.5
277,0,2.5,1.5
277,2,2.5,1.5
278,0,2.5,1.5
278,2,3.5,1.5
279,0,2.5,1.5
279,2,3.5,1.5
280,0,3.5,1.5
280,2,3.5,1.5
281,0,3.5,1.5
281,2,3.5,1.5
282,0,3.5,1.5
282,2,3.5,1.5
283,0,3.5,1.5
283,2,3.5,1.5
284,0,3.5,1.5
284,2,3.5,1.5
285,0,3.5,1.5
285,2,3.5,1.5
286,0,3.5,1.5
286,2,3.5,1.5
287,0,3.5,1.5
287,2,3.5,1.5
288,0,3.5,1.5
288,2,3.5,1.5
289,0,3.5,1.5
289,2,3.5,1.5
290,0,3.5,1.5
290,2,3.5,1.5
291,0,3.5,1.5
291,2,3.5,1.5
292,0,3.5,1.5
292,2,3.5,1.5
293,0,3.5,1.5
293,2,3.5,1.5
294,0,3.5,1.5
294,2,3.5,1.5
295,0,3.5,1.5
295,2,3.5,1.5
296,0,3.5,1.5
296,2,3.5,1.5
297,0,3.5,1.5
297,2,3.5,1.5
298,0,3.5,1.5
298,2,4.5,1.5
299,0,3.5,1.5
299,2,4.5,1.5
300,0,4.5,1.5
300,2,4.5,1.5
301,0,4.5,1.5
301,2,4.5,1.5
302,0,4.5,1.5
302,2,4.5,1.5
303,0,4.5,1.5
303,2,4.5,1.5
304,0,4.5,1.5
304,2,4.5,1.5
305,0,4.5,1.5
305,2,4.5,1.5
306,0,4.5,1.5
306,2,4.5,1.5
307,0,4.5,1.5
307,2,4.5,1.5
308,0,4.5,1.5
308,2,4.5,1.5
309,0,4.5,1.5
309,2,4.5,1.5
310,0,4.5,1.5
310,2,4.5,1.5
311,0,4.5,1.5
311,2,4.5,1.5
312,0,4.5,1.5
312,2,4.5,1.5
313,0,4.5,1.5
313,2,4.5,1.5
314,0,4.5,1.5
314,2,4.5,1.5
315,0,4.5,1.5
315,2,4.5,1.5
316,0,4.5,1.5
316,2,4.5,1.5
317,0,4.5,1.5
317,2,4.5,1.5
318,0,4.5,1.5
318,2,5.5,1.5
319,0,4.5,1.5
319,2,5.5,1.5
320,0,5.5,1.5
320,2,5.5,1.5
321,0,5.5,1.5
321,2,5.5,1.5
322,0,5.5,1.5
322,2,5.5,1.5
323,0,5.5,1.5
323,2,5.5,1.5
324,0,5.5,1.5
324,2,5.5,1.5
325,0,5.5,1.5
325,2,5.5,1.5
326,0,5.5,1.5
326,2,5.5,1.5
327,0,5.5,1.5
327,2,5.5,1.5
328,0,5.5,1.5
328,2,5.5,1.5
329,0,5.5,1.5
329,2,5.5,1.5
330,0,5.5,1.5
330,2,5.5,1.5
331,0,5.5,1.5
331,2,5.5,1.5
332,0,5.5,1.5
332,2,5.5,1.5
333,0,5.5,1.5
333,2,5.5,1.5
334,0,5.5,1.5
334,2,5.5,1.5
335,0,5.5,1.5
335,2,5.5,1.5
336,0,5.5,1.5
336,2,5.5,1.5
337,0,5.5,1.5
337,2,5.5,1.5
338,0,5.5,1.5
338,2,6.5,1.5
339,0,5.5,1.5
339,2,6.5,1.5
340,0,6.5,1.5
340,2,6.5,1.5
341,0,6.5,1.5
341,2,6.5,1.5
342,0,6.5,1.5
342,2,6.5,1.5
343,0,6.5,1.5
343,2,6.5,1.5
344,0,6.5,1.5
344,2,6.5,1.5
345,0,6.5,1.5
345,2,6.5,1.5
346,0,6.5,1.5
346,2,6.5,1.5
347,0,6.5,1.5
347,2,6.5,1.5
348,0,6.5,1.5
348,2,6.5,1.5
349,0,6.5,1.5
349,2,6.5,1.5
350,0,6.5,1.5
350,2,6.5,1.5
351,0,6.5,1.5
351,2,6.5,1.5
352,0,6.5,1.5
352,2,6.5,1.5
353,0,6.5,1.5
353,2,6.5,1.5
354,0,6.5,1.5
354,2,6.5,1.5
355,0,6.5,1.5
355,2,6.5,1.5
356,0,6.5,1.5
356,2,6.5,1.5
357,0,6.5,1.5
357,2,6.5,1.5
358,0,6.5,1.5
358,2,7.5,1.5
359,0,6.5,1.5
359,2,7.5,1.5
360,0,7.5,1.5
360,2,7.5,1.5
361,0,7.5,1.5
361,2,7.5,1.5
362,0,7.5,1.5
362,2,7.5,1.5
363,0,7.5,1.5
363,2,7.5,1.5
364,0,7.5,1.5
364,2,7.5,1.5
365,0,7.5,1.5
365,2,7.5,1.5
366,0,7.5,1.5
366,2,7.5,1.5
367,0,7.5,1.5
367,2,7.5,1.5
368,0,7.5,1.5
368,2,7.5,1.5
369,0,7.5,1.5
369,2,7.5,1.5
370,0,7.5,1.5
370,2,7.5,1.5
371,0,7.5,1.5
371,2,7.5,1.5
372,0,7.5,1.5
372,2,7.5,1.5
373,0,7.5,1.5
373,2,7.5,1.5
374,0,7.5,1.5
374,2,7.5,1.5
375,0,7.5,1.5
375,2,7.5,1.5
376,0,7.5,1.5
376,2,7.5,1.5
377,0,7.5,1.5
377,2,7.5,1.5
378,0,7.5,1.5
378,2,8.5,1.5
379,0,7.5,1.5
379,2,8.5,1.5
380,0,8.5,1.5
380,2,8.5,1.5
381,0,8.5,1.5
381,2,8.5,1.5
382,0,8.5,1.5
382,2,8.5,1.5
383,0,8.5,1.5
383,2,8.5,1.5
384,0,8.5,1.5
384,2,8.5,1.5
385,0,8.5,1.5
385,2,8.5,1.5
386,0,8.5,1.5
386,2,8.5,1.5
387,0,8.5,1.5
387,2,8.5,1.5
388,0,8.5,1.5
388,2,8.5,1.5
389,0,8.5,1.5
389,2,8.5,1.5
390,0,8.5,1.5
390,2,8.5,1.5
391,0,8.5,1.5
391,2,8.5,1.5
392,0,8.5,1.5
392,2,8.5,1.5
393,0,8.5,1.5
393,2,8.5,1.5
394,0,8.5,1.5
394,2,8.5,1.5
395,0,8.5,1.5
395,2,8.5,1.5
396,0,8.5,1.5
396,2,8.5,1.5
397,0,8.5,1.5
397,2,8.5,1.5
398,0,8.5,1.5
398,2,9.5,1.5
399,0,8.5,1.5
399,2,9.5,1.5
400,0,9.5,1.5
400,2,9.5,1.5
401,0,9.5,1.5
401,2,9.5,1.5
402,0,9.5,1.5
402,2,9.5,1.5
403,0,9.5,1.5
403,2,9.5,1.5
404,0,9.5,1.5
404,2,9.5,1.5
405,0,9.5,1.5
405,2,9.5,1.5
406,0,9.5,1.5
406,2,9.5,1.5
407,0,9.5,1.5
407,2,9.5,1.5
408,0,9.5,1.5
408,2,9.5,1.5
409,0,9.5,1.5
409,2,9.5,1.5
410,0,9.5,1.5
410,2,9.5,1.5
411,0,9.5,1.5
411,2,9.5,1.5
412,0,9.5,1.5
412,2,9.5,1.5
413,0,9.5,1.5
413,2,9.5,1.5
414,0,9.5,1.5
414,2,9.5,1.5
415,0,9.5,1.5
415,2,9.5,1.5
416,0,9.5,1.5
416,2,9.5,1.5
417,0,9.5,1.5
417,2,9.5,1.5
418,0,9.5,1.5
418,2,10.5,1.5
419,0,9.5,1.5
419,2,10.5,1.5
420,0,10.5,1.5
420,2,10.5,1.5
421,0,10.5,1.5
421,2,10.5,1.5
422,0,10.5,1.5
422,2,10.5,1.5
423,0,10.5,1.5
423,2,10.5,1.5
424,0,10.5,1.5
424,2,10.5,1.5
425,0,10.5,1.5
425,2,10.5,1.5
426,0,10.5,1.5
426,2,10.5,1.5
427,0,10.5,1.5
427,2,10.5,1.5
428,0,10.5,1.5
428,2,10.5,1.5
429,0,10.5,1.5
429,2,10.5,1.5
430,0,10.5,1.5
430,2,10.5,1.5
431,0,10.5,1.5
431,2,10.5,1.5
432,0,10.5,1.5
432,2,10.5,1.5
433,0,10.5,1.5
433,2,10.5,1.5
434,0,10.5,1.5
434,2,10.5,1.5
435,0,10.5,1.5
435,2,10.5,1.5
436,0,10.5,1.5
436,2,10.5,1.5
437,0,10.5,1.5
437,2,10.5,1.5
438,0,10.5,1.5
438,2,9.5,1.5
439,0,10.5,1.5
439,2,9.5,1.5
440,0,0.5,2.5
440,2,0.5,2.5
441,0,0.5,2.5
441,2,0.5,2.5
442,0,0.5,2.5
442,2,0.5,2.5
443,0,0.5,2.5
443,2,0.5,2.5
444,0,0.5,2.5
444,2,0.5,2.5
445,0,0.5,2.5
445,2,0.5,2.5
446,0,0.5,2.5
446,2,0.5,2.5
447,0,0.5,2.5
447,2,0.5,2.5
448,0,0.5,2.5
448,2,0.5,2.5
449,0,0.5,2.5
449,2,0.5,2.5
450,0,0.5,2.5
450,2,0.5,2.5
451,0,0.5,2.5
451,2,0.5,2.5
452,0,0.5,2.5
452,2,0.5,2.5
453,0,0.5,2.5
453,2,0.5,2.5
454,0,0.5,2.5
454,2,0.5,2.5
455,0,0.5,2.5
455,2,0.5,2.5
456,0,0.5,2.5
456,2,1.5,2.5
457,0,0.5,2.5
457,2,1.5,2.5
458,0,0.5,2.5
458,2,1.5,2.5
459,0,0.5,2.5
459,2,1.5,2.5
460,0,1.5,2.5
460,2,1.5,2.5
461,0,1.5,2.5
461,2,1.5,2.5
462,0,1.5,2.5
462,2,1.5,2.5
463,0,1.5,2.5
463,2,1.5,2.5
464,0,1.5,2.5
464,2,1.5,2.5
465,0,1.5,2.5
465,2,1.5,2.5
466,0,1.5,2.5
466,2,1.5,2.5
467,0,1.5,2.5
467,2,1.5,2.5
468,0,1.5,2.5
468,2,1.5,2.5
469,0,1.5,2.5
469,2,1.5,2.5
470,0,1.5,2.5
470,2,1.5,2.5
471,0,1.5,2.5
471,2,1.5,2.5
472,0,1.5,2.5
472,2,1.5,2.5
473,0,1.5,2.5
473,2,1.5,2.5
474,0,1.5,2.5
474,2,1.5,2.5
475,0,1.5,2.5
475,2,1.5,2.5
476,0,1.5,2.5
476,2,2.5,2.5
477,0,1.5,2.5
477,2,2.5,2.5
478,0,1.5,2.5
478,2,2.5,2.5
479,0,1.5,2.5
479,2,2.5,2.5
480,0,2.5,2.5
480,2,2.5,2.5
481,0,2.5,2.5
481,2,2.5,2.5
482,0,2.5,2.5
482,2,2.5,2.5
483,0,2.5,2.5
483,2,2.5,2.5
484,0,2.5,2.5
484,2,2.5,2.5
485,0,2.5,2.5
485,2,2.5,2.5
486,0,2.5,2.5
486,2,2.5,2.5
487,0,2.5,2.5
487,2,2.5,2.5
488,0,2.5,2.5
488,2,2.5,2.5
489,0,2.5,2.5
489,2,2.5,2.5
490,0,2.5,2.5
490,2,2.5,2.5
491,0,2.5,2.5
491,2,2.5,2.5
492,0,2.5,2.5
492,2,2.5,2.5
493,0,2.5,2.5
493,2,2.5,2.5
494,0,2.5,2.5
494,2,2.5,2.5
495,0,2.5,2.5
495,2,2.5,2.5
496,0,2.5,2.5
496,2,3.5,2.5
497,0,2.5,2.5
497,2,3.5,2.5
498,0,2.5,2.5
498,2,3.5,2.5
499,0,2.5,2.5
499,2,3.5,2.5
500,0,3.5,2.5
500,2,3.5,2.5
501,0,3.5,2.5
501,2,3.5,2.5
502,0,3.5,2.5
502,2,3.5,2.5
503,0,3.5,2.5
503,2,3.5,2.5
504,0,3.5,2.5
504,2,3.5,2.5
505,0,3.5,2.5
505,2,3.5,2.5
506,0,3.5,2.5
506,2,3.5,2.5
507,0,3.5,2.5
507,2,3.5,2.5
508,0,3.5,2.5
508,2,3.5,2.5
509,0,3.5,2.5
509,2,3.5,2.5
510,0,3.5,2.5
510,2,3.5,2.5
511,0,3.5,2.5
511,2,3.5,2.5
512,0,3.5,2.5
512,2,3.5,2.5
513,0,3.5,2.5
513,2,3.5,2.5
514,0,3.5,2.5
514,2,3.5,2.5
515,0,3.5,2.5
515,2,3.5,2.5
516,0,3.5,2.5
516,2,4.5,2.5
517,0,3.5,2.5
517,2,4.5,2.5
518,0,3.5,2.5
518,2,4.5,2.5
519,0,3.5,2.5
519,2,4.5,2.5
520,0,4.5,2.5
520,2,4.5,2.5
521,0,4.5,2.5
521,2,4.5,2.5
522,0,4.5,2.5
522,2,4.5,2.5
523,0,4.5,2.5
523,2,4.5,2.5
524,0,4.5,2.5
524,2,4.5,2.5
525,0,4.5,2.5
525,2,4.5,2.5
526,0,4.5,2.5
526,2,4.5,2.5
527,0,4.5,2.5
527,2,4.5,2.5
528,0,4.5,2.5
528,2,4.5,2.5
529,0,4.5,2.5
529,2,4.5,2.5
530,0,4.5,2.5
530,2,4.5,2.5
531,0,4.5,2.5
531,2,4.5,2.5
532,0,4.5,2.5
532,2,4.5,2.5
533,0,4.5,2.5
533,2,4.5,2.5
534,0,4.5,2.5
534,2,4.5,2.5
535,0,4.5,2.5
535,2,4.5,2.5
536,0,4.5,2.5
536,2,5.5,2.5
537,0,4.5,2.5
537,2,5.5,2.5
538,0,4.5,2.5
538,2,5.5,2.5
539,0,4.5,2.5
539,2,5.5,2.5
540,0,5.5,2.5
540,2,5.5,2.5
541,0,5.5,2.5
541,2,5.5,2.5
542,0,5.5,2.5
542,2,5.5,2.5
543,0,5.5,2.5
543,2,5.5,2.5
544,0,5.5,2.5
544,2,5.5,2.5
545,0,5.5,2.5
545,2,5.5,2.5
546,0,5.5,2.5
546,2,5.5,2.5
547,0,5.5,2.5
547,2,5.5,2.5
548,0,5.5,2.5
548,2,5.5,2.5
549,0,5.5,2.5
549,2,5.5,2.5
550,0,5.5,2.5
550,2,5.5,2.5
551,0,5.5,2.5
551,2,5.5,2.5
552,0,5.5,2.5
552,2,5.5,2.5
553,0,5.5,2.5
553,2,5.5,2.5
554,0,5.5,2.5
554,2,5.5,2.5
555,0,5.5,2.5
555,2,5.5,2.5
556,0,5.5,2.5
556,2,6.5,2.5
557,0,5.5,2.5
557,2,6.5,2.5
558,0,5.5,2.5
558,2,6.5,2.5
559,0,5.5,2.5
559,2,6.5,2.5
560,0,6.5,2.5
560,2,6.5,2.5
561,0,6.5,2.5
561,2,6.5,2.5
562,0,6.5,2.5
562,2,6.5,2.5
563,0,6.5,2.5
563,2,6.5,2.5
564,0,6.5,2.5
564,2,6.5,2.5
565,0,6.5,2.5
565,2,6.5,2.5
566,0,6.5,2.5
566,2,6.5,2.5
567,0,6.5,2.5
567,2,6.5,2.5
568,0,6.5,2.5
568,2,6.5,2.5
569,0,6.5,2.5
569,2,6.5,2.5
570,0,6.5,2.5
570,2,6.5,2.5
571,0,6.5,2.5
571,2,6.5,2.5
572,0,6.5,2.5
572,2,6.5,2.5
573,0,6.5,2.5
573,2,6.5,2.5
574,0,6.5,2.5
574,2,6.5,2.5
575,0,6.5,2.5
575,2,6.5,2.5
576,0,6.5,2.5
576,2,7.5,2.5
577,0,6.5,2.5
577,2,7.5,2.5
578,0,6.5,2.5
578,2,7.5,2.5
579,0,6.5,2.5
579,2,7.5,2.5
580,0,7.5,2.5
580,2,7.5,2.5
581,0,7.5,2.5
581,2,7.5,2.5
